,TF,TG,occurrence(pct)
70,Stat3,Hdac7,100.0
71,Stat3,Hif1a,100.0
72,Stat3,Ikzf2,100.0
74,Stat3,Lbh,100.0
75,Stat3,Maf,100.0
77,Stat3,Oxsr1,100.0
85,Stat3,Stat3,100.0
87,Stat3,Tox,100.0
88,Stat3,Trim8,100.0
90,Stat3,Zfp36l1,100.0
41,Maf,Bhlhe40,100.0
43,Maf,Efhd2,100.0
46,Maf,Hdac7,100.0
62,Maf,Tox,100.0
63,Maf,Zfp36l1,100.0
11,Ikzf2,Gpm6b,100.0
13,Ikzf2,Ikzf2,100.0
15,Ikzf2,Lbh,100.0
21,Ikzf2,Ptms,100.0
24,Ikzf2,Sostdc1,100.0
27,Ikzf2,Tbc1d4,100.0
32,Ikzf2,Trim8,100.0
0,Bhlhe40,Arl4c,100.0
1,Bhlhe40,Bhlhe40,100.0
2,Bhlhe40,Hdac7,100.0
3,Bhlhe40,Maf,100.0
4,Bhlhe40,Stat3,100.0
76,Stat3,Nrp1,90.0
81,Stat3,Ptms,90.0
5,Ikzf2,Angptl2,90.0
7,Ikzf2,Ctla4,90.0
9,Ikzf2,Eif2ak2,90.0
14,Ikzf2,Il21,90.0
20,Ikzf2,Phactr2,90.0
25,Ikzf2,Spock2,90.0
26,Ikzf2,Stat3,90.0
30,Ikzf2,Tox,90.0
31,Ikzf2,Tox2,90.0
33,Ikzf2,Tshz2,90.0
34,Ikzf2,Zfp36l1,90.0
65,Stat3,Bhlhe40,80.0
69,Stat3,Eea1,80.0
89,Stat3,Tshz2,80.0
10,Ikzf2,Gadd45b,80.0
12,Ikzf2,Igf1r,80.0
18,Ikzf2,Nrp1,80.0
19,Ikzf2,Oxsr1,80.0
23,Ikzf2,Slc22a15,80.0
83,Stat3,Selplg,70.0
68,Stat3,Ctsb,60.0
16,Ikzf2,Maf,60.0
29,Ikzf2,Tnfaip8,60.0
73,Stat3,Lag3,40.0
86,Stat3,Tlr7,40.0
52,Maf,Maf,30.0
78,Stat3,Pdcd1,20.0
84,Stat3,Slc22a15,20.0
42,Maf,Ctla4,20.0
8,Ikzf2,Efnb2,20.0
17,Ikzf2,Mrps6,20.0
22,Ikzf2,Ptpn1,20.0
28,Ikzf2,Tiam1,20.0
64,Stat3,Arap2,10.0
66,Stat3,Cd3e,10.0
67,Stat3,Ctla4,10.0
79,Stat3,Plekho1,10.0
80,Stat3,Prkca,10.0
82,Stat3,Ptpn1,10.0
44,Maf,Gadd45b,10.0
45,Maf,Hcst,10.0
47,Maf,Hif1a,10.0
48,Maf,Ikzf2,10.0
49,Maf,Il21,10.0
50,Maf,Lag3,10.0
51,Maf,Lbh,10.0
53,Maf,Plekho1,10.0
54,Maf,Prkca,10.0
55,Maf,Ptms,10.0
56,Maf,Ptpn1,10.0
57,Maf,Ptpn11,10.0
58,Maf,Selplg,10.0
59,Maf,Stat3,10.0
60,Maf,Thy1,10.0
61,Maf,Timp2,10.0
35,Il21,Ikzf2,10.0
36,Il21,Il21,10.0
37,Il21,Phactr2,10.0
38,Il21,Plekho1,10.0
39,Il21,Sostdc1,10.0
40,Il21,Tbc1d4,10.0
6,Ikzf2,Cacna1d,10.0
